Author,Title,Comment,Version,Rating,Vote
評五星才能試用,用了有十年吧,開始寫心得才警覺，使用的經驗算這麼資深了，當年從kkman轉介開始用kkbox，一路看著它的變化與成長⋯⋯能黏著到今日，也是覺得好用，與時俱進，有企圖心。其歌曲庫豐富，分類清楚好使用，跟得上流行腳步，這兩年開發出的類似歌曲推薦運算能力更深得我心，不看電視的我，kkbox是我接觸流行音樂的門戶。希望它不停止成長，讓大家能一直使用下去。,7.11.00,5,5
Wei_HO,關閉自動同步歌單功能,"自動同步歌單功能 對帳號共享的用戶來說真的很不方便 而且這個功能還不能關閉？？？？？？
不懂為什麼要強制這樣 一早起來我的歌單全部變成別的人歌單了 想刪又怕對方那邊也會被刪掉 希望可以使用手動同步 或關閉自動同步的功能",7.11.00,1,1
12332ggasf,車上充電中使用KKBOX如何使手機不會自動關上螢幕,"以前使用iphone在車上以藍芽播放kkbox,一段時間沒動螢幕，螢幕只會變暗只要碰觸到螢幕就會再度亮起，自從某次更新後（除了歌詞頁面）都會在一段時間後自動關閉螢幕，請問能改回之前狀態嗎？",7.11.00,5,5
Z_Xiang,無法自動延伸播放,更新完之後，播完單曲後無法自動延伸播放類似曲風的歌,7.11.00,5,5
張阿耀,更新完為什麼離線音樂全不見,如題,7.11.00,1,1
想使用貼圖,Widget,希望可以有播放清單的widget,7.11.00,5,5
渼1983,密碼欄位不能按,"新下載要註冊，密碼欄位不能按
麻煩請改善！",7.11.00,1,1
Jack至元,動態歌詞置中總算回來了！,謝謝KKBOX小隊讓動態歌詞總算從一開始大改版的置左改回成置中，已經看了10幾年禁不起大變呀🙈,7.11.00,5,5
凪橦,給填寫版本更新紀錄的人員,我看到你的哀怨了😂辛苦了😂,7.11.00,5,5
12234633,歌詞,耶！歌詞終於恢復到原本的樣式了！,7.11.00,5,5
149使用者,頁面卡住,"在歌曲播放中的頁面，
最上面的功能鍵會卡住，無法點選回首頁或使用搜尋功能，
更新了問題仍然存在",7.11.00,1,1
右腎,服務態度,感謝小編的回覆.問題已解決,7.10.90,5,5
取暱稱還一直被別人用過 到底？,同步歌單,"更新後歌單強制同步 還無法關閉自動同步
大概猜想得到是要杜絕一個帳號多人使用 但有沒有想過有些會員是同一個家庭 一起用應該不為過吧
強制同步後歌單不見 歌曲全部混在一起是真的造成很大困擾
都已經很支持了 用了很長一陣子的白金會員 實在覺得失望跟無奈",7.10.90,2,2
力七,播放歌曲時無法按照順序播放，會亂跳！,播放歌曲時無法按照順序播放，會亂跳！,7.10.90,3,3
lionno1,歌單自動同步 取消,不好意思 可以麻煩把歌單自動同步的選項開啟嗎？,7.10.90,1,1
Jerry5959,怎麼越改越不便利,越改越怪耶！越改越不方便！自動同步歌單？歌詞吃字？音質到底要幾個選項？新歌單最上方但新歌曲在最下方？what’s wrong with you?,7.10.90,1,1
豬豬頭頭,登入登不進去,用fb登不進去,7.10.90,2,2
qweesdfgbjknnb,使用其他程式時不能顯示歌詞,使用其他程式時不能顯示歌詞,7.10.90,1,1
朝霧雪,希望多一點歌曲可以重新上架,"好多歌的歌詞都看不到
還有希望很多本來可聽的歌現在未授權的可以重新上架",7.10.90,4,4
yabadala,怎麼都沒有,"有些歌都沒有
我們這些付錢都是大頭就對了",7.10.90,1,1
afra0530,為什麼更新完自動同步歌單,不要強制同步歌單 爛功能 請改回來,7.10.90,1,1
dahedawoh,歌曲不會增加到全部歌曲,"最近不知道過幾次的更新之後
聽過的歌下載後都不會增加到「全部歌曲」裡面欸
真的很困擾😭",7.10.90,4,4
明明就很痛,Hifi音質不錯,希望可以有更多hifi歌曲,7.10.90,5,5
iamericaaaaa,歌詞無法完整顯示,"歌詞不能改回置中嗎:(
現在靠左雖然能夠調整字體大小
但是有些比較長的歌詞後面的字會被吃掉
還是比較喜歡之前的歌詞顯示模式ಥ_ಥ",7.10.90,4,4
樹懶1,歌單同步,以前歌單同步可以開啟關閉，現在變成帳號內建開啟？覺得不方便,7.10.90,1,1
張心焱,不給退訂,沒辦法退訂欸幹 想變成月租149不給換的 又不是不租 他媽是多想要錢啊 斂財嘴臉,7.10.90,1,1
yingchi77,搜尋功能很差,搜尋功能會自己跑到最上面 完全按不到,7.10.90,1,1
Enoch>_<,666,在播我的歌單突然播其他歌 還幫我下載？,7.10.90,1,1
P先,年度歌單應該是被盜帳號了,2020年度歌單裡面完全是我沒聽過的歌，我的帳號應該是被盜了...,7.10.90,1,1
fcmoqr3jgpj,希望能回復歌詞置中對齊的功能,歌詞置中，在歌詞動態顯示上是較為美觀而閱覽舒適的方式！希望能提供選項，讓習慣多年的使用者，可以自由選擇『歌詞置中』或『齊頭式對齊』，謝謝！,7.10.90,4,4
chiashien,操作介面功能太少,"希望多增加一些功能
例如：編輯收藏歌曲的順序、將手機內的歌曲加入收藏...等",7.10.90,2,2
餅軒,啟動速度很慢,開啟app後要進入選歌前的logo那邊要等超久....有時候還會閃退！,7.10.90,4,4
snoopy11540,耳機無法暫停,之前用xs max插耳機聽音樂可以用耳機播放暫停，但至從換了12pro插耳機聽音樂卻無法，還要用手機去按暫停，這樣使用有點不方便！,7.10.90,5,5
Gavin712,Carplay無法連動,更新ios14.2後，使用carplay暫停與播放無法使用喔～,7.10.90,5,5
太傷心3.0,拜託把歌詞顯示方式改回來,新版歌詞沒置中、顏色又不清楚看得很吃力，拜託給使用者改回以前版本的選項。,7.10.90,4,4
52801653800153713、363,原來還有@今日不能取消訂閱」，我是不是該找消保官？,今日不能取消訂閱」，我是不是該找消保官？,7.10.90,1,1
NICK__LIN,歌詞的顯示方式拜託改回來,明明到上一版為止的歌詞顯示方式是最棒的，結果你把最大的優點改掉了...,7.10.90,4,4
火粉001,如下,我之前用都沒問題 但最近我只要按重播就會當掉一直重播那一段 根本沒辦法聽歌😞,7.10.90,3,3
研設射員,更新後發生的,會突然跳提醒然後開始播放音樂,7.10.90,4,4
진민여,歌單同步,為什麼歌單會自己同步還找不到關掉的地方了？？？跟家人共用這樣超級不方便，不改回來到期之後就不繼續用了。,7.10.90,1,1
景益,版權問題,有些歌手有唱過的歌曲 居然沒有收錄 真的真的很..........,7.10.90,4,4
jellllllychu,專輯,MF DOOM 的專輯少了很多張 希望能補上,7.10.90,3,3
寧ㄦ.,歌詞工具,"為什麼要刪掉歌詞的小工具
有了那個可以不用點開就看歌詞很方便為什麼會刪掉希望可以儘快用回來！",7.10.90,3,3
09880733333,一顆星,"很多歌曲都沒辦法聽，沒授權？
一個月還要149⋯⋯覺得很不划算。
打算邀請我的好朋友一起申請推掉了。謝謝 ！",7.10.90,1,1
Annie000037,問題已改善,問題已改善,7.10.82,5,5
ranee1007,比較喜歡以前的歌詞介面,"一直以來都是用kkbox，一些更新也覺得很棒，但這次更新的歌詞介面感覺失去了kkbox的特點
置中的粗黑體才是經典ㄚ⋯⋯⋯
截圖起來也比較好看⋯⋯⋯嗚嗚希望可以變回來⋯拜託了",7.10.90,5,5
sone55555,希望2020年度歌單可以快快出來～～ 期待,如標題,7.10.90,5,5
江昇威,AirPod 無法換歌,是我自己的問題還是大家的AirPod在使用的時候無法用AirPod 去換歌呀,7.10.82,4,4
Justin W 1236,爛,整天在那邊叫人更新爛透了,7.10.82,1,1
Klovereading,多年愛用不間斷,以前鎖屏時的動態歌詞還能夠恢復嗎？那項功能我最喜歡了,7.10.82,5,5
想要有遊戲體驗的靚仔,編輯,能不能出個可以編輯歌曲順序？,7.10.82,5,5
135874488,更新後,"更新後歌詞怎麼沒有置中了
強迫症看了生氣😡",7.10.82,3,3
3256tw,新改版,歌詞不會自動下移，很不實用；字體反白，讓視覺吃力！改版超失敗，難用！,7.10.82,1,1
張心緯,很多Youtube喜歡的歌都沒有,Youtube的一些歌曲都沒有，都有提及客服中心到現在卻沒有回應,7.10.82,3,3
XXCYC,歌詞介面,"希望能夠自行選擇歌詞的介面
比起現在的更喜歡之前的樣式",7.10.82,4,4
Nnnnina huang,更新完一直閃退,"更新後一點開就閃退⋯
一整天了⋯⋯怎麼辦😭",7.10.82,1,1
李小娉,開fb音樂就停了@@,如題,7.10.82,1,1
Ayaya T,歌詞,靠左真的很難看！不太懂為什麼更新是把自己的優點改掉？,7.10.82,1,1
Jejdncksnsnei,希望選擇/全選之後除了刪除還有其他功能,"如題
有時候想選一些歌曲 到某歌單 或收藏歌曲
卻發現只有刪除的功能
希望可以添加其他功能 謝謝🙏",7.10.82,3,3
Chun ru,歌詞功能調整的不錯,歌詞新增的功能很喜歡，可以為了一段歌詞停留在那,7.10.82,5,5
Carissa Chu,歌詞方式換了,比較喜歡以前的歌詞提示方式，現在不明顯,7.10.82,3,3
sj2pm,歌詞位置,更新後歌詞變左邊 有夠醜 原本中間不好嗎？,7.10.82,3,3
欣妤欣妤欣妤,歌詞介面,希望可以改成之前的歌詞介面,7.10.82,3,3
vic0107100,排行榜,電視版的排行榜為什麼不見了,7.10.82,3,3
不滿族0,希望有自己歌單或是最近聽的歌的widget,🙏🙏,7.10.82,5,5
Yuuhhssmmi,歌詞,"希望歌詞頁面可以改回之前的版本ಥ_ಥ
之前那樣置中比較舒服
如果沒改回來 或多一個自訂選項
可能不會再繼續用kkbox了",7.10.82,1,1
poiklhuygfder,Siri 無法設定,Siri無法設定,7.10.82,1,1
Gi pei,很棒,希望可以橫向聽歌看歌詞,7.10.82,5,5
Dreamshee,與歌曲搜尋軟體串連,"不知道KKBOX是否有與歌曲搜尋的app串連？
例如Shazam
假如有的話，使用者在找到有興趣的歌之後，就可以直接在KKBOX匯入，
這樣非常有效率，謝謝",7.10.82,5,5
阿嘍喊,希望歌單可以更新快一點 很多新歌都出來了 卻找不到,拜託,7.10.82,4,4
CLW0101,歌詞改版的介面,歌詞改版的介面不好看，希望可以改回原來置中的介面。,7.10.82,4,4
iamwuyiyiyiyi,音質問題,不能用音質hi-fi,7.10.82,5,5
Kkkkkkakkkkat,免費聽要看廣告 到底給不給看,點進去廣告 直接壞掉 到底😀,7.10.82,1,1
孝倫,UI,跟Spotify相比不管是在操作跟介面真的非常弱,7.10.82,1,1
Chino8763,歌手熱門歌曲太不熱門,推薦的歌都蠻糟的，整體服務體驗又輸 spotify 太多，只贏在歌詞同步（暫時）,7.10.82,2,2
狂暴軍長,用了很多年了,希望可以配合 ios14 推出小組件放在主畫面,7.10.82,5,5
帥哥小魚,歌詞,"可以自訂嗎？
偏左很醜。",7.10.82,3,3
Jesse Chiu！,App版面問題,請儘速改善更新後XR打開app搜尋功能跑到手機最上端與時間電信公司名稱同一排，造成要不斷關掉app重開每跳出去一次就又發生相同情況，非常困擾！！！,7.10.82,1,1
ritaora0115,歌詞,歌詞介面是改版了嗎？ 怎麼跟之前不一樣了 比較喜歡之前的ㄚಥ_ಥ,7.10.82,3,3
俄況且我快,歌詞版面問題,"拜託🙏 把歌詞改回原本的樣子
看到真的傻眼 很醜😂
等改回來我再改回五星",7.10.82,5,5
show0317,無法透過google nest mini播放指定歌曲,無法播放指定歌曲，只能播放指定歌手,7.10.82,4,4
失去愛心的可憐人,Hifi,未來白金會員可以直接享有hifi音質嗎？還是還需要加錢？,7.10.82,4,4
就愛拿鐵,有被騙錢的感覺,前陣子因為生日🈶️優惠，2個月才99元，但是，根本95%是無法播放，永遠都顯示網路中斷無法連線，手機明明都可以上網，也可以用別家的聽歌⋯之前曾經正常付費時，都沒有這個問題，如果為了挽回消費者，卻又因為優惠便宜，而用名目限制消費者的使用，根本是騙錢呀⋯⋯⋯想試試重新下載看能不能解決問題，卻直接不給登入，才付錢多久根本都不能用，麻煩請退錢！！！,7.10.82,1,1
802332,歌詞小工具,"ios14歌詞小工具不見了
用官網的方式找尋
完全沒有看到",7.10.80,3,3
tracy2372002,歌詞能改回原本的樣式嗎？,您好～希望歌詞排版能改回原本置中的樣式，或者開放兩種樣式以供選擇嗎？其他功能都很好用，謝謝～,7.10.80,5,5
luswtin,為何我用KK point訂閱Hi-Fi活動後，設定內的音質依舊沒有Hi-Fi選項？,經致電貴公司後問題解決,7.10.80,5,5
CJ-Chiu,Apple Watch 無法有情境電台等選單,Apple Watch 6 明明有行動服務、但打開卻沒出現情境電台、曲風電台的選單、更新最新了，還是一樣、跟這畫面上的圖不符。還是只能操作手機做成遙控器而已。,7.10.80,2,2
安妞噗噗,歌詞靠左邊有點醜,可以改回置中嗎⋯⋯,7.10.80,1,1
Chunmien,歌詞改這樣跑真的不太好看，隱藏了未到歌詞,歌詞改這樣跑真的不太好看，隱藏了未到歌詞,7.10.80,4,4
cdman52023,歌詞顯示的方式可以改回舊版的嗎？,歌詞顯示的方式可以改回舊版的嗎，更新後覺得歌詞的排版不如以往直覺,7.10.80,4,4
playlist30,可以能調整歌詞到原先的置中,不然看的很不舒服ಥ_ಥ,7.10.80,4,4
wl00782534,簡訊跟mile會自己寄過來而且我已經取消電子報了,簡訊跟mile會自己寄過來,7.10.80,1,1
不理雞蛋花,歌詞,可以把歌詞置中改回來嗎⋯⋯,7.10.80,4,4
30341904,無法登入,超爛,7.10.80,1,1
Kraken26yc,Widget功能,Widget歌詞找不到,7.10.80,4,4
一個暱稱要試幾次,被iPhone瀏海擋住了,"某一次更新後 只要搜尋過一次歌曲後
最上面一排的選單（搜尋bar、排行榜、podcast....那些）都會被手機的瀏海.電池時間列擋住無法點選，可以調整一下介面嗎？",7.10.70,4,4
iampancake,新介面的搜尋紀錄無法清除,新介面的搜尋功能，沒辦法清除最近搜尋紀錄,7.10.70,4,4
王涂淑力,很好,可以試聽看看,7.10.70,4,4
jjengf,待播放清單功能可以更完善,我覺得可以做一個按鍵是把歌設成下一首待播放歌曲,7.10.70,5,5
linyiiixuan,小工具,iOS14什麼時候有hifi?,7.10.70,4,4
leezxx,功能,希望iOS的小工具可以新增播放暫停上下首功能 不要只能看排行榜,7.10.70,5,5
bon50218,希望聽外國歌時可以有中文歌詞,如題，我個人在聽我英文歌時會希望有中文歌詞，會換用youtube 聽音樂，這樣換來換去很麻煩，如果這邊在聽外文歌時有中文歌詞或可以自己新增的話就太棒了,7.10.70,5,5
About C.J,無法自動延伸,"我的kkbox無法自動延伸音樂
已經講自動延伸打開
ios 14
Kkbox已為最新版本
也將不循環播放打開
但到最後一首歌停了就說無下一首歌曲播放",7.10.70,5,5
iamagoodboy886,無法分享歌詞至IG限時動態,"請問為什麼現在沒辦法分享歌詞到ig了～～～
之前還可以！！
以為是因為不是最新版本更新之後還是一樣
按分享之後有選歌詞的部分
但卻不能按分享的按鈕
請幫我解決謝謝～～",7.10.70,5,5
EE系,打開程式時的動畫太久,"一打開的那個kkbox動畫太久了 每次都等得很不耐煩
有些歌會突然未授權，然後就再也不會出現了",7.10.70,4,4
lty04,更新到ios14.2 沒有歌詞小工具,Widget那邊沒有歌詞小工具的選項，希望可以盡快改善😭😭😭😭謝謝,7.10.70,4,4
愛吃布丁的柴犬,如果能把flac音質下放到除了中華電信以外,"如果能把flac音質下放到除了中華電信以外的裝置
我相信價格方面是可以做問卷統計看看的
不過根據目前狀況來看
我覺得約199是大部分人對於hi-res的接受範圍",7.10.70,3,3
愛好者一枚,iPhone touch / 5C,"此兩種版本已經停更了嗎？
習慣用他們聽歌都不能聽了，悲劇⋯",7.8.70,3,3
huei0921,歌會突然停掉,有時候會斷斷續續 然後就沒聲音,7.10.70,1,1
錵呱,...,"下午還能聽歌好好的 晚上莫名其妙登不進去 
明明帳號密碼打的都是對的啊 我還重新下載了問題一樣拜託快點改善",7.10.70,1,1
給我王嘉爾徽章,徽章識別功能很不準,"用kkbox十多年了
第一次使用這麼不開心
新歌更新慢不然就是沒有
這些都算了
我都還能接受
我是王嘉爾粉絲
我天天聽王嘉爾的音樂
粉絲徽章一出來
你給我汪X龍跟謝X弦？？？？？
什麼意思🙄🙄🙄
都好幾天了不給我換掉也不給我王嘉爾的徽章
非常無語
可以給我王嘉爾的徽章嗎🙄",7.10.70,3,3
longerking,歌曲建議,"為何沒有之前2003年抗SARS群星合唱的《手牽手》
這首歌建議好幾次 都沒上架 傻眼",7.10.70,1,1
左右邊,快速找到自己沒有收藏到的歌,希望能有這個東西,7.10.70,4,4
Yu6985,這一版，有些功能都障礙了，很難敘述...,這一版，有些功能都障礙了，很難敘述...,7.10.70,1,1
感到火大的用戶,哼歌無法辨識歌曲,哼歌無法辨識歌曲，即使原曲音樂播放搜尋也搜不到！,7.10.70,1,1
122xgchj,更新後開啟FB後音樂都會自動暫停,更新後開啟FB後音樂都會自動暫停,7.10.70,2,2
哇哇哇哈哈哈嘻嘻嘻,登不進去,為什麼我登不進去？,7.10.70,1,1
chiafeng2003,給個讚,好用方便音質很棒！,7.10.70,5,5
夜幕綠用戶,瀏海問題,請問我i11 更新ios14 後 畫面都會跑到瀏海部份，（收訊音樂、向下箭頭等） 然後就無法使用，需要滑掉重開。有辦法解決嗎？,7.10.70,3,3
放開那個怪物,于台煙,我找不到她的一首歌歌名叫我心裡痛,7.10.70,1,1
☁️⚡️☔️,歌詞小工具失蹤了😭,"更新完只剩排行榜
歌詞小工具不見了",7.10.70,3,3
RichardsonKang,我看到演唱會了,把演唱會資訊整合到歌手頁面，再透過KKtix訂票，可以，這個完美程度很蘋果👍,7.10.70,5,5
史萊萊姆,😂,如果不用付費應該就會有更多人用,7.10.70,4,4
氤氳藍,用了十年的使用者回饋,很多歌都沒有 填了歌曲建議申請單 就像是石沉大海一去不回 只會搞些有的沒的噱頭 賣票搶票 改一點不實際的主題更換 針對使用者體驗部分進步超緩慢 其他像s還是youtube都有出播放軟體了 現在不是十年前那種市場了 請你針對現在的使用者需求增加該有的歌曲 付月租費不是要讓您改那些有的沒的想聽的歌聽不到 音質無法提升 介面卡到蘭教臉 操作一點也不流暢 再不改進就掰掰,7.10.70,1,1
是在哈囉囉囉,歌曲不是最新,很多歌都沒辦法聽，甚至搜尋某歌手的時候歌單都不是最新的！！！,7.10.70,3,3
yoqttirube,越來越爛,聽一個小時後就一直轉圈圈不知道在轉什麼意思的,7.10.70,1,1
a103126107,無法把歌詞放入手機工具列內,更新後無法把歌詞放到小工具內，只剩綜合新歌排行榜了，麻煩請改進,7.10.70,2,2
Jerry Kong,歌單同步開啟後很卡,"歌單同步開啟後
每次打開KKBOX app
都卡住，必須同步完畢
才能點擊",7.10.70,3,3
陳曉天,時間排序,希望之前的時間排序可以恢復使用 不然原本調整好的歌單瞬間亂掉,7.10.60,4,4
CliffHsieh,詢問版本與手機電力問題,請問最近的版本跟以前的版本比較，是不是會損耗比較多的iPhone 電力？如果是的話，真的耗電很嚴重,7.10.60,4,4
