content,rating
不 想 氪金 的 朋友們 就 到去 網址 是 的 站點 裡 找 一 進 遊戲 就 滿 的 版本 體驗 上線 就 送 頂級 裝備 遊戲 道具 全部 無限 使用 完全 的 不用 氪金 的 故事 情節 也 都 很 棒 謝謝 玩 過 很多 類似 的 遊戲 突然 有 相見 恨晚 發現 寶藏 的 感覺 別的 遊戲 都 是 一 關 就 要 一 顆 星星 這邊 是 隻 要 通關 就 可以 一直 玩 下去 而且 活動 很多 常常 會 有 無限 生命 的 活動 而且 很 好 得到 一點 都 不 小氣 讓 每 個 棲息地 都 有 升級 的 價值 製作 團隊 加油 遊戲 副本 非常 多 希望 可以 在 新增 其他 的 副本 真 是 個 簡單 有趣 又 耐玩 的 遊戲 很 棒 的 創意 在 這 個 沒 時間 玩 遊戲 又 想 打發 時間 的 最佳 選擇 加油 當然 更 希望 能 有 繁 中 然後 突然 到 了 右上角 的 傳送點 打怪 也 是 一樣 的 情況 怪物 沒有 血條 也 不會 死掉 開 自動 任務 擊殺 數量 會 慢慢 往 上 跑 但是 畫面 是 卡住 的 只有 怪物 會 跑 玩家 不會 動放 技能 也 沒 反應 當 完成 任務 的 擊殺數 時 畫面 會 直接 變成 在 傳送點 間 移動 然後 各 種 倒數 的 時間 應該 是 全票 唯一 個 保存 在 我 手機 裡 遊戲 可以 偶爾 動動 腦別 的 遊戲 都 是 一 關 就 要 一 顆 星星 真的 讓 人 愛不釋手 有種 親身 戀愛 的 感覺 第一 天 玩 就 瞬間 入 坑 了 現在 變成 了 一 位 白 太太 第一 次 對 一 個 遊戲 這麼 入迷 而且 給 的 福利 也 很 好 但 希望 臺版 更新 可以 快 一點 最後 只 能 說 這 款 遊戲 太 成功 了 不 下載 會 後悔 的 無可 否認 系統 仿 了 弓箭 傳說 但是 核心 體驗 相當 地 優秀 操作 簡單 快速 好 上手 打擊感 更 是 誇張 地 好玩 起來 通體 舒暢 爽翻天 不 誇張 這邊 是 隻 要 通關 就 可以 一直 玩下去 很 好玩 對於 氪金 發表 一點 看法 氪金 始終 無法 避免 如果 覺得 有 遊戲 應該 無氪 也 可以 當區 裏 數一數二 的 那 充 錢 還 有 什麼 用 或者 您 可以 選擇 來 免費 做 遊戲 做 不 好 被 罵 做好 了 被 催下 一 款 沒有 任何 回報 雖然 我 不 覺得 有 這 種 想法 的 人 能 做 一 款 好 遊戲 衝 著 和 情懷 選擇 這 個 遊戲 吐槽 這麼多 依舊 在 玩 也 是 希望 國漫 能夠 更 好 國漫 衍生品 也 會 越來越 好 只是 我 不 知道 這樣 的 期待 和 熱情 還 會,1.0
簡單 明瞭 的 操作 方式 歌曲庫種 分類 清晰 數量 龐大 推薦 音樂 或 歌曲 目標 明確 真的 蠻 不錯,1.0
目前 在 最 新 版本 聽 歌 聽 一半 整 個 程式 跳掉 需要 重開 程式 重新 找 歌單 播 不到 一半 又 跳掉 一 首 歌 都 聽 不 完 是 發生 什麼 事情,0.0
更新 快 很 棒,1.0
一 堆 翻唱 的 每 次 進去 要 聽 的 沒有 半 個 原 唱 搞屁 喔 爛 到 不行 不要 在 下載 了,-1.0
簡直 無得 頂連 屬於 真 香港人 既 歌 都 有 願 榮光 歸 香港,1.0
離線 歌曲 共 為什麼 會 自動 刪 歌 哪些 歌 不能 聽 都 不用 顯示,-1.0
音質 好 方便 使用,1.0
還 不錯 有 我 想 聽 的 電視 據 主題曲,1.0
什麼 東西 啊 註冊 都 不行 給 星 不錯 了,-1.0
這 個 軟體 我 使用 之後 我 覺得 很 好用,1.0
超棒 撥打 中華 電信客 服綁 約 月 付 元,1.0
希望 可以 增加 其他 顏色 的 主題,1.0
為什麼 最近 經常 開 不 到 已經 試 過 兩 次 只 去到 藍色 畫面 顯示 和 版本 的 介面 完全 進 不 到 去,-0.5
如果 手機版 也 可以 加入 匯入 歌曲 的 功能 更 佳,0.5
介紹 的 熱門 歌曲 很 啱 我 很 到位 值得 一 讚 努力 加油,1.0
完全 不能 使用 而且 一連上 之後 點擊 歌單 馬上 閃退,-1.0
很 不錯 有 良心 可以 下載 歌,1.0
我 想 找 一些 舊 日本 動畫歌 或 舊 日本 聲優 但 可能 是 市場 不 吸引 吧 一些 如 橙路貓 之 眼 聲優 如 緒 方惠美 折笠 愛 已 很 難 在 市場 找到 了 希望 能 加入 謝謝,0.5
很 好用 可是 搜索 的 速度 要 大大 的 提升 不然 要 等 好 久纔 可以 搜到 一 首 個,0.5
音樂 可以 讓 人 帶來 喜悅 與 快樂 亦 可以 隨著 音樂 節奏 紓發 心情,1.0
就是 這樣,1.0
為什麼 沒有 沈文程 跟 他 的 歌曲 來去 臺東 呢,-0.5
請問 註冊完 沒用 會 算 錢 嗎,-0.5
最愛 的 音樂 播放器,1.0
一直 以來 都 維持 得 很 好 希望 能夠 盡快 再 把 授權 到期 的 歌 再 授權 最近 有 許多 歌 都 到期 了,0.5
之前 還可以 聽 歌 怎麼 突然 就 不行 了 還是 在 大陸,1.0
歌 多 不錯,0.0
已經 封鎖 通知 減少 不 必要 騷擾 訊息,-0.5
聲音 大小 無法 調整,0.0
不能 播 本來 手機 裏 下載 的 音樂 這 點 有些 遺憾 其他 都 挺 好 的,0.5
希望 歌 加入 歌單 時有 加入 過 的 歌 顯示 有 加入 過 歌單 了 要不然 都 不 知道 已經 加 過 了 還 加 一 次 在 麻煩 了 你們 處理 了 謝謝,1.0
近期 非常 頻繁 出現 不 正常 關閉 的 視窗 但 視窗 跳出 時 音樂 還 在 正常 播放 播 直到 我 按掉 視窗 才 會 關掉 另 一 個 問題 也 有 好 一陣子 了 音樂 播 到 一半 會 從頭 開始 播 同 一 首 歌 原本 的 沒有 並 沒有 停 結果 變成 二 部 合唱 就 是 同 一 首 歌 同時 播 不同 時間點 的 內容,-0.5
希望 如果 有 任何 舊 歌 一 上架 首 頁 能 做 個 通知 腦子 裡 有 很多 記憶 中 的 音樂 旋律 什麼 歌名 或 哪 位 音樂人 印象 有點 模糊,0.5
更新完 後 聽 歌 聽到 一半 一直 閃退,-0.5
下載 還要 給 錢鬼 才 會 下載,-1.0
很 好用,1.0
雖 簡單 卻 有 深度 的 操作 可是 呢 我 平常 最 喜歡 到 上 找 滿 無限 元寶版 登入 就 無限 資源 免 課纔 是 良心 玩 得 好 痛快 呀 還 有 百 種 經典 爆款 的 無限版 玩 上 就 愛不釋手 很 經典 的 遊戲 百 玩 不 厭 的 一直 在 玩 增加點 自助 找回 帳號 的 功能 也 會 方便 很多 希望 喜歡 這 款 遊戲 的 你們 也 能 跟 我 依樣 體會到 同樣 的 樂趣 只不過 容量 有點 大一 開始 下載 的 時候 都 跑不動 偶爾 看到 有 就 趕緊 下載 結果 下載 的 過程 讓 我 中途 又 放棄 首先 關於 這 個 遊戲 這 個 遊戲 我 是 肯定 的 畫風 精美 豪華 之類 的 別人 也 是 說 過 的 但是 同學 都 說 這 是 一 個 過氣 遊戲 而且 太 爆 肝 遊戲 本身 很 不錯 是 目前 玩 過 的 所有 遊戲 畫面 最 乾淨 的 有些 遊戲 畫面 會 很 雜亂 全部 都 在 伸手 跟 你 要 錢 儲值 但 這 款 卻 沒有 很 棒 遊戲 感應 有 問題 觸控 常 會 跑掉 和 延遲 遊玩 方式 很 簡單 但 過於 考驗 操作 跟 低廉 簡陋 的 畫風 形成 大 反差 使得 帶來 的 成就感 很 低 讓 人 只 覺得 浪費 時間 和 生命,1.0
介面 改版 之後 非常 難 用,-0.5
的 手機會 在 背景 偷偷 運行 造成 耗 電 就算 限制 背景 運作 仍 會,0.5
會員 製作 者 個人 意見 不 會議 後天 遲鈍 嗄 錒 嗄 醃,1.0
正 過 同 每 日 推薦 歌單 好 啱 口味,0.0
好用 好多 新歌,1.0
為什麼 我 的 深色 模式 不見了,1.0
真的 非常 的 爛 考慮 要 終止 續租 了 歌曲 常常 無 預警 就 突然 不能 聽 了 未 授權 歌曲 一旦 跳到 未 授權 後 根本 不可能 再 上架 至少 我 沒 遇到 過 我 想 聽 的 歌曲 下架 後 有 重新 再 上架 過 的,-1.0
中文 的 歌曲 來 說 辨識 程度 已經 很 不錯 了 可惜 辨識 的 時間 太 短 只有 秒 而且 是 無 差別 辨識 如果 在 哼歌 辨識 上 可以 調整 收錄 的 時間 長度 例如 調整成 秒 或是 預先 鎖定 一定 的 範圍 例如 把 我 現在 哼 的 歌 鎖定 在 男 歌手 中文 的 範圍 這樣 就 能 更 準確 的 找到 自己 想要 的 歌曲 如果 哼歌 辨識 的 功能 可以 進步 到 這樣 的話 我 一定 會 訂閱 的,0.5
好用 方便 月日 今天 聽 歌 發現 吳宗憲 的 真心 換 絕情 前面 音質 怎麼 壞 了 一 堆 雜音 麻煩 看 一下 謝謝,1.0
我 的 深色 模式 消失 了,1.0
謝謝 這 留言 改 星星 忘記 改 文字 內容 抱歉 用 很多 音樂 軟體 還是 喜歡 用 這 個 加油,1.0
我 明明 已經 開 起 深色 模式 今天 又 變回 正常 去 設定 看 外觀 選項 也 不見了,1.0
其實 不錯 不過 爲 什麼 只 能 聽 秒,-1.0
超好用,1.0
無法 用 登入 一直 在 轉圈,-1.0
問題 已 獲得 解決 感謝,1.0
整體 來 說 還是 不錯 但是 常常 斷線 希望 能 解解決,0.5
沒用 了 還 每 個 月 扣錢,-1.0
又 話 可以 離線 聽 歌 隔 幾 日 又 要 強制 上線 先 聽到 歌 又 要 用 數據 聽 歌 買 同 唔 買 無 分別,-1.0
這 是 我 用 過 最 好 的 音樂 連 很多 偏僻 或者 古典 音樂 都 有 值得 去 下載 看看,1.0
很 久 沒用 真的 很 讚,1.0
一 堆 歌 一下 有一下 又 沒有,-1.0
下載 音樂 開始 付費 了,0.0
剛剛 在 選 歌 的 時候 發現 全部 歌曲 有首 可是 本 地 歌曲 卻 有 首進 去 仔細 看 發現 很多 都 是 我 已經 刪除 的 請 處理 一下 謝謝,-0.5
收藏 歌曲 歌單 無法 編輯 自訂 排序 反而 本 機 離線 歌曲 歌單 可以,0.5
很 好 很 強大,1.0
很 用心 回答 用戶 需求,1.0
本來 會 給 四 顆 星 但 無 端端 變成 只 能 播放 三十 秒 就 停歌 了 到底 是 怎麼 一 回 事,-0.5
歌曲 很多 多樣化 曲風 也 很多 可以 聽 不同 歌手 的 歌 很 好聽 謝謝,1.0
非常 好,1.0
兩 支 手機 一 支 一 支 聽 同樣 一 首 歌 結果 那 支 的 歌 會 停 一下 又 唱 那 支 就 正常 不 知道 是 不 是 軟體 有 衝突 到 請 解答,-0.5
大陸 不能 直接 用 實在 是 不 知道 如何 升級 會員 憂傷 音樂庫 不全 但是 有 的 音樂人 最近 幾 年 的 專輯 全 有 上架 很 快,0.5
問題 反應 已經 快要 一 年 了 始終 都 不 見 解決 官方 擺爛 不 解決 是 不 是 既然 財大氣粗 不 理會 使用 者 反應 的 問題 少 我 一 個 付費 會員 也 無所謂 吧 我 就 取消 付費 不用 這 個 爛,-1.0
一直 要 會員 會員 下載 個 音樂 有 那麼 難 嗎,-1.0
好聽,1.0
最近 聽 歌 都 會 斷斷續續 能 解決 一下 嗎 聽到 火氣 都 要 上來 了,1.0
更新 後 一直 閃退 聽到 一半 程式 直接 關掉,-0.5
以前 聽 歌 感覺 很 好 但 最近 常 開始 聽 就 斷線 真的 很 差 如果 沒有 版權 就 不要 播放 我 繳 了 月費 卻 沒有 一般 正常 的 聽 歌 權利 和 福利 真的 感覺 非常 差勁,-1.0
希望 可以 多一點 泰文 歌讚,0.5
最近 聽 歌 會 閃退,0.5
是 近期 我 最 喜歡 的 手遊 老闆娘 介紹 我 去 上 可以 玩 鑽石 元寶 無限 的 滿 版 神裝 神獸 先 任選 再 開局 週週 都 會 更新 活動 獎勵 根本 拿 不 完 新版 華山 論劍風雲 再 起 全新 賽制 相剋 雙人賽 逐鹿 天下 華山 論劍 相剋 雙人賽 與 之前 的 賽制 流程 相同 但 在 創建 戰隊 和 每 次 傳入 賽場 時 新增 五行 判斷 只有 組隊 雙人 存在 五行 相剋 關係 方 可 創建 戰隊 或 進行 比賽 華山 之 巔 再次 開戰 論劍 革新 爭霸 中原 年度 限定 時裝 忘憂 秋葉 流歌 動情 問世 向 各位 俠客 演繹出 銀杏葉 物語 永恆 的 愛一生 的 守候 鎏金 的 銀杏葉 點綴 在 腰 間 裙 擺袖口 讓 時裝 充滿 靈性 舉手投足 間 盡顯 武俠 的 靈動 與 浪漫 向 我們 娓娓道來 這 人間煙火 的 美好 與 柔情,1.0
簡單 的 操作 即可 發動 連擊 與 各 種 多采多姿 不過 最好 是 去 找 網址 到 上面 下載 元寶 無限 滿 版 創 了 角 即 送 神裝 和 無限 元寶 免 充免 課纔 是 王道嘛 原本 自由自在 的 在 地表 上 生活 突然 有 一 天 那 傳說 中 的 巨型 爬蟲獸 突然 降臨 大地 並 肆虐 的 吞噬 著 螃蟹 們 的 家園 螃蟹 們 在 沒有 辦法 抗衡 下 紛紛 的 潛入 了 地 底 深處 過 了 幾 個 世紀 後 這些 螃蟹 由於 長期 被 地 底 深層 的 水晶 輻射 影響 導致 螃蟹 們 逐漸 地 進化 了 在 長時間 抵抗 輻射 的 情況 下 它們 的 鰲爪 和 外殼 都 變 得 猶如 水晶 般 地 鋒利 鑽石 般 地 堅硬 它們 已經 準備 就緒 螃蟹 大軍 準備 出擊 壯大 你 的 螃蟹 大軍 吧 協助 他們 進化 幫助 他們 奪回 自己 的 家園,1.0
垃圾 程式 要 付費 早 說 幹嘛 定位為 免費 混帳,-1.0
良心 作品 啊 打擊感 不錯 的 遊戲 小 女友 介紹 我 網址 上面 可以 體驗 無限 元寶 版本 的 手遊 因為 這 網站 有 很多 手遊 的 商城幣 無限版 裝備 上線 就 能 頂級 真是 太 爽 了 屬 性能 刷爆 太 贊 了 我 喜歡 經典 玩法 全球 同服 多 人 在 線 競技 同 區域 的 玩家 都 會 自動 加入 的 妳 的 團隊 來者 即 是 兄弟 該 是 妳 施展 的 雄渾 偉略 時候 了 團隊 之 心 或 全 場 最佳 非 妳 莫 屬 嶄新 鮮明 的 英雄 角色 黯然 銷魂 的 動作 只 能 說 英雄 在 挽雕弓 如 滿月 西北 望射 天狼 血戰 在 如 當年 金戈 鐵馬氣吞 萬 裏 如 虎 選擇 妳 喜歡 的 英雄 成就 妳 心 中 的 夢華麗 的 召喚師 技能 豐富 多樣 符文 組合 在 妳 手 裏 巧妙 的 搭配 展現出 壹 個 與眾不同 的 妳 在 這裏 不 存在 所謂 最 強 的 陣容 只有 更 好玩 的 對戰 激情,1.0
我 用 這麼多 年 了 一 大 堆 歌 想 聽 時 都 變 無 授權 想要 找 什麼 歌 都 沒有 不 是 付錢 的 音樂 網址 嗎 感覺 很 不 好,-0.5
是 在 哈摟 女朋友 讓 我 在 找 一下 在 這 可以 玩 熱門款 的 元寶 無限版 手遊 太 好玩 滿級 福利多 到 爆 上線 送 的 元寶 鑽石 隨便 花 直接 吊打 土壕 和 同樣 被 死亡 遊戲 囚禁 的 搭檔 小春 攻略 艾恩葛朗特 遼闊 的 空間 若要 攻略 強大 的 怪物 和 困難 的 任務 就 和 全 國 的 攻略組 同心協力 面對 吧 此外 生產 更 強大 的 武器 並 活用 擁有 各 種 效果 的 技能 進而 針對 對方 弱點 和 攻擊 模式 做好 準備 纔 是 攻略 的 關鍵,1.0
愉快 與,1.0
到底 為什麼 最近 在 上面 很 常 崩潰 可是 又 沒有 更新檔 可以 解決,-1.0
遊戲 的 品質 非常 讚動 畫 劇情 的 部分 我 給 五星 角色 設定 四星 可以 去 找 網址 裡面 有 很多 爆紅 的 元寶 無限 滿 版 手遊 資源商 城幣 都 是 送到 你 用不完 還 有 百 款 熱門 遊戲 的 無限 元寶版 收起 你 的 寶劍 拿出 你 的 套牌 在 這 款 節奏 明快 充滿 奇幻 風格 的 卡牌 遊戲 中 你 將 扮演 一 位 英雄 施展 變化多端 的 戰略 來 擊敗 對手 在 數 分鐘 的 激戰 中 你 可以 使用 威力 強大 的 卡牌 來 施展 法術 召喚 手下 並 掌控 瞬息萬變 的 戰場 不管 你 是否 第一 次 玩 卡片 遊戲 都 能 輕鬆 上手 豐富 的 變化 與 魅力 將 讓 你 欲罷不能,1.0
之前 的 黑色 主題 不見了 前 陣子 打開 自動 跳成 白色 版面,0.5
問題 反應 已經 快要 一 年 了 始終 都 不 見 解決 官方 擺爛 不 解決 是 不 是 既然 財大氣粗 不 理會 使用 者 反應 的 問題 少 我 一 個 付費 會員 也 無所謂 吧 我 就 取消 付費 不用 這 個 爛 你們 的 案件 編號 最多 隻 能 查到 六 個 月 內 我 去年 三月 反應 已經 查 不 到 了,-1.0
兩 支 手機 一 支 一 支 聽 同樣 一 首 歌 結果 那 支 的 歌 會 停 一下 又 唱 那 支 就 正常 不 知道 是 不 是 軟體 有 衝突 到 請 解答 請問 要 如何 排除 問題,-0.5
設定 無法 更改為 深色 主題,-1.0
可惜 不 是 所有 歌曲 都 有 動漫 等等 的 就 比較 稀少 不過 只要 有 的 音樂 都 是 高音質 喔,1.0
最近 播放 過程 容易 出現 無 預警 閃退 請 協助 改善,-1.0
出境 後 入離線 模式 經常 歌曲 聽 一半 就 自動 停 如 不能 改善 我 會 轉回 用 其他 實在 極為 不便 用 了 半 年 一直 無 改善 回覆 只是 叫 客睇 一般 電腦 預定 的 問題 及 答案 跟 本 無心 跟進 客人 問題 因 之 前 一 次 過付 了 半 年 現在 過 了 不會 再 用 下去,-1.0
很 好用,0.5
為什麼 更新 之後 離線 的 歌 直接 從 首 變 首,-1.0
請問 怎麼 取消 訂閱 不 好用,-1.0
為什麼 我 有 付款 好 換 手機 從 新 下載 軟體 不能 使用 好爛,-1.0
連 下載 程式 都 不能 下載,-1.0
裡面 有 我 想要 的 歌 操作 起來 也 挺 不錯 唯一 的 缺點 就 是 試用期 結束 後 必須 付款 纔 能夠 無線 聽 歌,-1.0
閃退 很 頻繁,-1.0
是 不錯 用 可是 最近 在 三星 常常 出現 應用 程式 異常,0.0
最近 一直 閃退,0.0
可 轉用成 歌曲 單霹靂 風雲 榜讚 啦,1.0
分鐘 的 音樂 變 秒,-1.0
今天 下午 要 開 的 時候 一直 閃退 然後 重新 下載 後 登入 帳號 都 沒 錯 可是 我 的 歌單 全部 不見 一千兩百多 首 歌 都 不見了,-1.0
非常 好 能 放鬆 心情,1.0
就 讓 音樂 陪 你 去,1.0
邀請 謝和絃 不 分 是非 黑白 的 公司 不 支持 拒用,-1.0
讚,1.0
很 好用,1.0
媽勒 你們 扣款 真的 很 有事 欸 明明點 一 年 買斷 為何 會 扣 兩 次 款 強迫 消費 不要 在 那邊 客服 快 易 通 了 林北 真的 很 不 爽,-1.0
無法 分享到,0.0
讚,1.0
請 呼麻仔 上臺 主辦 是 跟著 吸 嗎 爛透 了 怒刪,-1.0
使用 多 年 的 好用,1.0
鼻 要 再 問 了 有 大 改版 再 來 考慮 加 星星,-0.5
棒,1.0
垃圾,-1.0
更新 後 歌曲 次序 變 得 亂七八糟 只 能 以 歌手 名稱 歌曲 名稱 排序 沒有 專輯 排序 就算 把 歌手 編入 歌單 也 不能 以 專輯 排序 最 嚴重 的 問題 是 同 一 個 歌手 會 有 三 個 名稱 到底 是 想 迫死 誰 問題 雖然 未 能 解決 但 客服 快速 及 有禮 特 回覆 值得 加分 可惜 問題 依然 沒 解決 所以 不 給 高分,-0.5
最近 在 背景 後 播放 常 會 自動 停止,0.0
限時 下載 我 覺得 對 不能 消費 的 人 很 不 公平,-1.0
音質 及 各 方面 都 不錯,1.0
為什麼 最近 我 下載 的 歌 會 莫名不見 啊,0.0
良,1.0
想 支持 一下 可惜 家庭 只有 人 共用 現在 很多 網 上 串流 音樂 的 家庭 都 有 至少 人 就 是 不 懂 為什麼 你們 只有 人,-1.0
爛 要 錢,-1.0
我 的 安卓 平臺 版本 使用 是 正常 的 以後 的 版本 不 正常 會 閃退 看 一些 訊息 是 使用到 一些 用到 就 會 閃退 請問 使用 較 舊 版本 可否 也 繼續 正常 使用 感謝 你,1.0
有 好多 經典 之 作 可以 聽,0.5
非常 之 好,1.0
是 不錯 用 可是 最近 在 三星 常常 出現 應用 程式 異常,0.5
有時 聽到 一半 會 自己 停掉,0.0
越來越 多 歌 都 不能 聽 了 續訂 不 知道 能 幹嘛,-1.0
希望 聽 歌 的 時候 可以 將 等化器 關閉 套用 全部 的 歌曲,1.0
歌曲 應 有盡有,1.0
好用,1.0
常常 寫 了 歌曲 推薦書 但是 過 了 快 一 個 月 還是 沒有 新增 而且 網路 自行 創造 歌曲 或是 比賽 翻唱 的 也 搜尋 不 到,0.0
希望 可以 在 等化器 增加 立體聲 的 選項,1.0
好 喜歡 這 個,1.0
非常 好 這 是 我 用 過 那麼多 的 播放 音樂 軟體 令 我 非常 滿意 還可以 離線 搜尋 希望 你們 可以 越 做 越 好 加油 加油,1.0
這 個 閃退 這 是 有 付費 的,-1.0
很 棒,1.0
我 不 知道 是 不 是 我 的 問題 每 次 進 首 頁 都 會 特別 的 慢進去 之後 首 頁 還 沒有 免費 聽 首 歌曲 的 圖示,0.0
三星 安卓 更新 到 播放 歌曲 不管 調 什麼 撥放 模式 都 會 一直 重播 同 一 首 歌,0.5
服務 很 棒,1.0
請問 這 個 程式 抓 音樂 可以 轉放 記憶卡 播放 嗎,0.0
程式 關閉 音樂 就 停 了 程式 很 好用 需要 用 的 檔案 很 小 但是 不能 放到 記憶卡,0.0
好用,1.0
還 沒用 過去 請教學,1.0
很多 時候 都 是 他 陪 著 我,1.0
不錯,0.0
隨時 隨地 都 能 聽 音樂 我 永遠 聽 不停,1.0
為何 你們 官網 寫 說 安卓 以上 可以 用 深色 模式 我 是 之 前 月 的 時候 還 能 用 現在 從 設定 卻 找 不 到 外觀 的 選項 很 抱歉 我 是 外觀 主義 者 所以 希望 趕快 修復 不然 我 真的 不會 想 繼續 使用,0.5
可不可以 離線 聽 歌 的 哦 是 不 是 要 會員 哦,1.0
